date,team,opp,mpg,orig_ppg,orig_scaled,opp_orig_scaled,diff_orig,pred_scaled,opp_pred_scaled,diff_pred
2016-11-16,TOR,GSW,257.453,115.05,107.250643807,120.019181148,12.7685373408,106.14814078,118.687746032,12.5396052517
2016-11-16,WAS,PHI,251.9965,107.1,102.001416686,84.9497679906,-17.0516486957,99.0737482682,86.3958250027,-12.6779232655
2016-11-17,CHI,UTA,205.8935,98.3,114.583510407,91.1461454222,-23.4373649848,113.764239032,89.052192452,-24.7120465803
2016-11-17,HOU,POR,229.0925,96.75,101.356438993,101.131692735,-0.224746258237,103.827421556,107.801496974,3.97407541832
2016-11-17,MIA,MIL,229.882333333,95.7,99.911983957,97.3623280091,-2.54965594794,100.15293036,96.8124822296,-3.34044813032
2016-11-17,MIL,MIA,247.118166667,100.25,97.3623280091,99.911983957,2.54965594794,96.8124822296,100.15293036,3.34044813032
2016-11-17,MIN,PHI,256.925,123.333333333,115.208718498,105.679618526,-9.52909997158,121.175704661,104.653255591,-16.5224490701
2016-11-17,NYK,WAS,243.7725,105.5,103.867335323,109.185198743,5.31786342028,106.549275349,109.148822779,2.59954742966
2016-11-17,PHI,MIN,264.7625,116.583333333,105.679618526,115.208718498,9.52909997158,104.653255591,121.175704661,16.5224490701
2016-11-17,POR,HOU,249.773333333,105.25,101.131692735,101.356438993,0.224746258237,107.801496974,103.827421556,-3.97407541832
2016-11-17,UTA,CHI,241.985,91.9,91.1461454222,114.583510407,23.4373649848,89.052192452,113.764239032,24.7120465803
2016-11-17,WAS,NYK,245.8575,111.85,109.185198743,103.867335323,-5.31786342028,109.148822779,106.549275349,-2.59954742966
2016-11-18,ATL,CHO,231.0405,107.2,111.357099729,111.557568031,0.200468301681,114.443105289,106.187253571,-8.25585171762
2016-11-18,BOS,GSW,250.942,106.8,102.143124706,122.742363521,20.599238815,105.551537793,118.452311896,12.9007741033
2016-11-18,BRK,OKC,255.115,120.25,113.125453227,102.874670652,-10.2507825754,112.217649507,103.985587551,-8.23206195637
2016-11-18,CHO,ATL,227.47,105.733333333,111.557568031,111.357099729,-0.200468301681,106.187253571,114.443105289,8.25585171762
2016-11-18,CLE,DET,268.0925,120.9,108.231300764,100.820898003,-7.41040276114,109.111218675,100.860635472,-8.25058320232
2016-11-18,DAL,MEM,210.4075,70.6,80.5294488077,100.423162154,19.8937133465,80.586080703,96.5279725194,15.9418918164
2016-11-18,DEN,TOR,226.509,95.65,101.346966346,114.533857693,13.1868913478,97.8714848305,115.137748502,17.2662636717
